pole_id,height_id,kernel_10_mean,kernel_10_std,kernel_10_max,kernel_10_min
0,0,0.07963814,0.036155824,0.19950008,0.0
0,1,0.069787,0.025119413,0.12219894,0.029503576
0,2,0.081566505,0.025868747,0.13328484,0.035077885
0,3,0.080179244,0.020386754,0.12162429,0.038186926
0,4,0.06572226,0.015384558,0.11410023,0.041859742
0,5,0.06823626,0.023674501,0.13800794,0.031999096
0,6,0.08073666,0.026068093,0.15681952,0.042176414
0,7,0.091358356,0.026660742,0.17894182,0.04273445
0,8,0.083631426,0.030487414,0.1799537,0.040223565
0,9,0.08030199,0.028577695,0.1443206,0.0
30,0,0.05965832,0.019827183,0.111042894,0.0
30,1,0.06674321,0.016940868,0.103894345,0.0338841
30,2,0.0762445,0.014389064,0.10629034,0.051133588
30,3,0.07780231,0.019813333,0.12190743,0.045618758
30,4,0.07972366,0.017591417,0.11604978,0.04887661
30,5,0.09141647,0.016023435,0.12816244,0.050536416
30,6,0.0853326,0.02097985,0.1317728,0.032648247
30,7,0.082124144,0.021961642,0.12686436,0.039005764
30,8,0.09008524,0.022250129,0.15469164,0.05300957
30,9,0.08647277,0.03231952,0.17999105,0.0
41,0,0.091002256,0.036412295,0.19490415,0.0
41,1,0.0966827,0.023685934,0.1577269,0.044672035
41,2,0.10522903,0.032053687,0.18184495,0.049794354
41,3,0.09291832,0.035344444,0.18911535,0.033261742
41,4,0.09546507,0.034319498,0.19022503,0.034235917
41,5,0.09099588,0.034949344,0.18339851,0.03673812
41,6,0.09210413,0.019845922,0.13698553,0.055991177
41,7,0.10342066,0.049157992,0.21376124,0.032650463
41,8,0.117667176,0.050626077,0.2507637,0.029158738
41,9,0.08196772,0.04279082,0.17871612,0.0
6,0,0.08788958,0.035059426,0.17189746,0.0
6,1,0.09759502,0.035944685,0.17208888,0.05070444
6,2,0.102162704,0.03689044,0.19650084,0.05225065
6,3,0.11054969,0.043324895,0.2300715,0.05714782
6,4,0.11889601,0.04344334,0.24922228,0.05945268
6,5,0.12554379,0.029668208,0.24186349,0.07623722
6,6,0.08805567,0.030528555,0.19179294,0.047673326
6,7,0.07953732,0.02267079,0.13770503,0.037942164
6,8,0.07258222,0.022782154,0.12834816,0.03436597
6,9,0.066895425,0.026172183,0.15175751,0.0
5,0,0.081363395,0.032670185,0.17347242,0.0
5,1,0.08446465,0.015829235,0.12518507,0.05209938
5,2,0.07979578,0.013421666,0.10617828,0.049576107
5,3,0.079696074,0.014321359,0.11551652,0.050923225
5,4,0.09623241,0.024414975,0.14657316,0.0459134
5,5,0.1276176,0.03485822,0.20674242,0.06249801
5,6,0.117485255,0.032078434,0.18509439,0.048696637
5,7,0.095379114,0.023828194,0.16619284,0.042232893
5,8,0.09572396,0.029335726,0.1692145,0.04339644
5,9,0.10165128,0.039167326,0.18785281,0.0
