pole_id,height_id,diameter_mean,diameter_std,diameter_mode
0,0,0.20032365835751892,0.012359388451910034,0.19060405631164526
0,1,0.19240440531591343,0.007504050404716098,0.19040042019755873
0,2,0.195093004917013,0.008437975613282302,0.19160978504814513
0,3,0.18735269455827594,0.006621815368030777,0.18843945043988386
0,4,0.188286953212978,0.01362729796305306,0.1917126813975553
0,5,0.18975717322956528,0.007615933427185389,0.191540463080729
0,6,0.18624755427003684,0.008959375169603082,0.18652853083008267
0,7,0.184913137467995,0.011939992040374393,0.18761391710838826
0,8,0.18857747990444534,0.011688202294986046,0.19171475585793965
0,9,0.1792371894287438,0.016625048707453464,0.1865000335260391
30,0,0.28170279734725046,0.03307902719440874,0.28274355906831095
30,1,0.22253721949933972,0.025331819694168506,0.230725567032749
30,2,0.21273883664161528,0.02231599149323567,0.22187873252719195
30,3,0.21517728453948762,0.019782774563542087,0.22142928123390973
30,4,0.21643396188467962,0.017897549713807106,0.21805395133719496
30,5,0.21198208741131735,0.020924805621649945,0.22015274426775572
30,6,0.2132659015615444,0.019103510672924606,0.21739164897731317
30,7,0.21024531928462833,0.019984256494478263,0.21613946195925315
30,8,0.2111462905792127,0.01574558547079682,0.21472850336790797
30,9,0.25412108870654276,0.03766902342043022,0.23636706866564045
41,0,0.3115810743732979,0.02455371735150539,0.29883473389564086
41,1,0.266135973848864,0.016467253885934834,0.2586716332900685
41,2,0.25108192430969434,0.017984294606919794,0.2498735040557556
41,3,0.24883749484582765,0.020036906683440908,0.2428538793478142
41,4,0.22593114848494827,0.01448059297279187,0.22514853246391403
41,5,0.2108471993262659,0.010160308538780994,0.21524985287074483
41,6,0.21340935335844194,0.01020456193654756,0.2120501663194719
41,7,0.20883712838165053,0.0123568398251913,0.20617505757445415
41,8,0.203104526259638,0.010976604168755672,0.2007124829039852
41,9,0.2000766022097501,0.02066885901664391,0.20887801309952303
6,0,0.2602201762471979,0.01723687540934584,0.2510589543792909
6,1,0.2226354902111159,0.01244705043349102,0.2179798344328686
6,2,0.21912503645325238,0.012187292056585945,0.21384201671092504
6,3,0.20945127457008653,0.008188799552381498,0.21273031846523002
6,4,0.2142937616778784,0.014493402152175433,0.22166091412689432
6,5,0.2099684814063001,0.011075599970098557,0.20699310702296453
6,6,0.22218925472889667,0.0052396184532843195,0.22267085840087958
6,7,0.2281872097878098,0.013604619118045181,0.22181649297491798
6,8,0.22726725484051877,0.016316369372895805,0.21720973364540616
6,9,0.2010261268331876,0.02488136928192914,0.2136267715817436
5,0,0.2230514875526626,0.020790556362872713,0.22727031087361926
5,1,0.19560198550743677,0.013060335235267844,0.19944413248434384
5,2,0.19754494018875732,0.014529493964395164,0.20116841047113893
5,3,0.19410222642099081,0.016300218617732024,0.2040508540844805
5,4,0.19479478895013067,0.013397108104601497,0.199103535947813
5,5,0.2081495389852738,0.008562675996321803,0.2096089607840775
5,6,0.20710798408114642,0.009323246743684795,0.2068488002757715
5,7,0.20758530897096894,0.008536558601725563,0.20748217174573452
5,8,0.2043302549406721,0.013015257042407547,0.20473150787410788
5,9,0.19718311928997231,0.026039042854737193,0.21140313968012386
