pole_id,height_id,surface_depth
0,0,0.8658194541931152
0,1,0.8663055300712585
0,2,0.867152750492096
0,3,0.8734861016273499
0,4,0.8756805658340454
0,5,0.8805277943611145
0,6,0.8831527829170227
0,7,0.8855833411216736
0,8,0.8889999985694885
0,9,0.8910694718360901
5,0,0.7530561089515686
5,1,0.8764426708221436
5,2,0.8811768293380737
5,3,0.8865463733673096
5,4,0.8765755891799927
5,5,0.7834780812263489
5,6,0.775198757648468
5,7,0.7990731596946716
5,8,0.8095475435256958
5,9,0.7641792297363281
6,0,0.7461861968040466
6,1,0.7607938647270203
6,2,0.7689055800437927
6,3,0.7433316707611084
6,4,0.5883188843727112
6,5,0.5815606713294983
6,6,0.6459249258041382
6,7,0.687816321849823
6,8,0.7204806208610535
6,9,0.7469851970672607
30,0,0.8589516878128052
30,1,0.8591023087501526
30,2,0.8593209981918335
30,3,0.85736083984375
30,4,0.8603363037109375
30,5,0.8640278577804565
30,6,0.8616715669631958
30,7,0.858159065246582
30,8,0.8574483394622803
30,9,0.856072187423706
41,0,0.7542990446090698
41,1,0.7552444338798523
41,2,0.7626211643218994
41,3,0.7676757574081421
41,4,0.7722737193107605
41,5,0.7778878211975098
41,6,0.7839525938034058
41,7,0.7942121028900146
41,8,0.8100677728652954
41,9,0.8275494575500488
